EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
84551000;2;05/1942;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;4.9287;4.9287;4.9287;4.4028001;4.4028001;3.9089999;3.9089999;3.9089999;3.9089999;3.9089999;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1
84551000;2;06/1942;1;1;9.9312;2.6173999;3.8268001;18;16;1;1;1;;0;3.9089999;3.9089999;3.9089999;3.9089999;3.4470999;3.6740999;4.6616998;3.9089999;3.9089999;3.4470999;3.4470999;3.4470999;3.0167;3.0167;3.0167;2.6173999;2.6173999;9.9312;7.7024999;5.7786999;3.4470999;3.9089999;3.4470999;3.2279999;3.0167;3.0167;3.0167;3.0167;2.6173999;2.8132;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84551000;2;07/1942;1;1;15.0786;2.2488;4.0324998;3;27;1;1;1;;0;3.6740999;3.4470999;15.0786;12.4717;7.0278001;4.6616998;3.9089999;3.9089999;3.4470999;3.2279999;3.0167;3.0167;3.0167;3.0167;3.0167;2.8132;2.6173999;2.8132;3.6740999;3.2279999;3.0167;2.6173999;2.6173999;2.8132;2.6173999;2.6173999;2.2488;2.2488;3.6740999;3.6740999;5.7786999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84551000;2;08/1942;1;1;4.1518998;2.2488;2.6113;1;10;1;1;1;;0;4.1518998;3.6740999;3.0167;2.6173999;2.6173999;2.6173999;2.6173999;2.6173999;2.6173999;2.2488;2.2488;2.2488;3.2279999;2.8132;2.6173999;2.2488;2.2488;2.2488;2.2488;2.6173999;2.6173999;2.6173999;2.8132;3.2279999;2.6173999;2.2488;2.2488;2.2488;2.2488;2.2488;2.2488;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84551000;2;09/1942;1;1;46.6707;2.2488;5.1672001;30;1;1;1;1;0.0;0;2.2488;2.2488;2.2488;2.2488;4.4028001;5.7786999;3.2279999;2.4293001;2.2488;2.2488;2.2488;2.2488;2.2488;2.2488;2.2488;8.7783003;5.7786999;3.6740999;3.6740999;2.8132;2.2488;2.2488;2.2488;2.2488;3.6740999;13.8611;8.4111996;4.6616998;3.4470999;46.6707;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84551000;2;10/1942;1;1;16.3965;2.2488;5.0187998;28;18;1;1;1;;0;12.926;7.0278001;5.4871998;4.1518998;3.9089999;3.4470999;6.3866;11.5898;5.4871998;4.1518998;3.6740999;3.0167;3.0167;3.0167;3.2279999;3.0167;2.6173999;2.2488;2.2488;2.2488;2.2488;2.6173999;2.6173999;2.2488;2.6173999;5.2038999;9.1540003;16.3965;10.743;4.9287;3.9089999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84551000;2;11/1942;1;1;15.7282;2.2488;3.4177001;22;7;1;1;1;;0;3.0167;3.0167;3.6740999;3.0167;2.6173999;2.6173999;2.2488;2.2488;2.2488;2.2488;2.2488;2.6173999;2.6173999;2.6173999;2.6173999;2.6173999;3.0167;8.4111996;3.4470999;2.6173999;2.6173999;15.7282;5.4871998;3.0167;2.6173999;2.6173999;2.8132;2.6173999;2.6173999;2.6173999;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84551000;2;12/1942;1;1;12.926;2.2488;3.5745001;26;5;1;1;1;;0;2.6173999;2.6173999;2.6173999;2.4293001;2.2488;2.2488;2.2488;2.2488;2.2488;2.2488;2.6173999;5.2038999;4.6616998;3.0167;6.0784998;5.2038999;4.1518998;2.6173999;2.2488;2.2488;2.2488;2.2488;2.2488;2.2488;11.5898;12.926;4.1518998;3.2279999;2.6173999;2.2488;3.2279999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84551000;2;01/1943;1;1;49.4702;2.2488;4.4891;24;3;1;1;1;0.0;0;2.6173999;2.4293001;2.2488;2.2488;4.1518998;2.4293001;2.6173999;4.4028001;2.6173999;2.2488;2.2488;2.2488;2.2488;2.6173999;5.7786999;2.4293001;2.2488;2.2488;2.2488;2.2488;2.2488;2.2488;2.2488;49.4702;11.5898;4.4028001;2.8132;2.2488;2.2488;2.2488;2.8132;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
84551000;2;02/1943;1;1;17.0837;2.2488;5.7842999;2;12;1;1;1;;0;15.7282;17.0837;10.3327;6.3866;5.7786999;4.1518998;3.2279999;2.6173999;4.6616998;3.9089999;2.8132;2.2488;2.2488;9.1540003;3.2279999;2.6173999;2.6173999;2.6173999;11.162;7.3608999;4.4028001;2.8132;2.6173999;2.6173999;2.6173999;9.1540003;4.4028001;13.3891;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
